dpid,g_gsDatasetInfo,id,hkgsDataProviderList,uuid
165E709F,Hard-surface Pitches,e12e1f78-58c8-4eeb-ae83-bc2fa72edd91,Leisure and Cultural Services Department,1050dde5-446f-4233-ad91-82cbdad5e947
871CC2B1,Health Education Exhibition and Resource Centre,b2e8aa49-927b-45e3-9fc9-130c169c4836,Food and Environmental Hygiene Department,7c6ed451-0448-4c48-b400-369bd05d6271
5BE565B4,Higher Education Institutions,f0a2212a-61bf-454f-b40f-d2acddd56ebe,Education Bureau,ff0a38ae-7a4e-4502-921f-86628dc78476
165E709F,Holiday Camps,ab4d1fac-cca2-4164-add9-59c6e838e1d3,Leisure and Cultural Services Department,1050dde5-446f-4233-ad91-82cbdad5e947
2D367B34,Holiday Camps (Licensed),4de3e3db-ea5c-4a65-b268-91efa1df4bce,Home Affairs Department,afdfff49-e6f0-4256-b480-506bb8aecffe
2D367B34,Holiday Flats (Licensed),3363c551-4ed9-4905-b92b-5becf68a432d,Home Affairs Department,afdfff49-e6f0-4256-b480-506bb8aecffe
2D367B34,Home Affairs Department Public Enquiry Service Centres,c9bb825f-5571-4e09-a572-ae3bba962f97,Home Affairs Department,afdfff49-e6f0-4256-b480-506bb8aecffe
165E709F,Horse Riding Schools,e6541f7e-31be-4ed9-9304-c621ebe79400,Leisure and Cultural Services Department,1050dde5-446f-4233-ad91-82cbdad5e947
F1730991,Hospitals under the Hospital Authority,25714788-aea1-4aaa-a76c-8a943513b5d0,Hospital Authority,6ffaea46-5367-41ab-ad56-710cdd87d7ad
1992C279,Hostel for Moderately Mentally Handicapped Persons,a9cb1e37-756d-431e-b0fe-ba2cda8b4f46,Social Welfare Department,945aae53-9a34-4cb8-82b5-2a52991aed6e
1992C279,Hostel for Severely Mentally Handicapped Persons,1b9ff8da-fa7c-4476-90f9-40d42618cb11,Social Welfare Department,945aae53-9a34-4cb8-82b5-2a52991aed6e
1992C279,Hostel for Severely Physically Handicapped Persons,3e53b8a7-158b-472e-9b20-1bfc51d7494b,Social Welfare Department,945aae53-9a34-4cb8-82b5-2a52991aed6e
1992C279,Hostel for Severely Physically Handicapped Persons with Mental Handicap,4be241f5-04a0-4a66-b511-3d9d2584cdf8,Social Welfare Department,945aae53-9a34-4cb8-82b5-2a52991aed6e
2D367B34,Hotels (Licensed),cbdfed29-e3ed-43bd-985e-e53027f27425,Home Affairs Department,afdfff49-e6f0-4256-b480-506bb8aecffe
8286E747,Immigration Branch Offices,b241681d-e854-4714-929a-4a67b37babcb,Immigration Department,9034ef82-7daa-40c7-be98-0f276101cd18
C9935818,Indoor Air Quality Information Centre,b73d4779-c76e-448f-9149-c94bd7e189d9,Environmental Protection Department,e31e12f0-3a12-4a4c-8fba-a5f173bfe9d1
CB7A151E,Information of Completed URA Redevelopment Projects,7026f1c3-3d90-41b1-8a4a-aa950129d92b,Urban Renewal Authority,86af5f82-d098-49b6-b588-f0a51f97d9f5
1992C279,Integrated Children and Youth Services Centre,91eef4a1-2fbf-49cb-a565-71a4613d0172,Social Welfare Department,945aae53-9a34-4cb8-82b5-2a52991aed6e
1992C279,Integrated Community Centre for Mental Wellness,42ff9d05-c2da-4ef1-a958-94d15d2b14a0,Social Welfare Department,945aae53-9a34-4cb8-82b5-2a52991aed6e
1992C279,Integrated Family Service Centres / Integrated Services Centres,97480e15-a0ad-4820-bc9f-aeb56845a338,Social Welfare Department,945aae53-9a34-4cb8-82b5-2a52991aed6e
1992C279,Integrated Rehabilitation Services Centre,d7ca51fd-7d62-485f-8cde-4f470fe5b5da,Social Welfare Department,945aae53-9a34-4cb8-82b5-2a52991aed6e
1992C279,Integrated Vocational Rehabilitation Services Centre,7bd167a9-4bed-49ee-9e51-6400be4c574b,Social Welfare Department,945aae53-9a34-4cb8-82b5-2a52991aed6e
